"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","expression","answer","correct","name","image","behavior","guesses"
"true","false","[]","[]","[]","preload","0","2.0.0","5783","","","","","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","7090","1306","Welcome to the experiment. Press any key to begin."," ","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","9091","null","Jason","null","","","","","","",""
"","","","","","image-keyboard-response","3","2.0.0","12098","null","./images/LM-241.jpg","null","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","14101","null","Jason","null","","","","","","",""
"","","","","","html-keyboard-response","5","2.0.0","18104","null","<p>5 - 3 = ?</p>","null","5 - 3","2","false","","","",""
"","","","","","html-keyboard-response","6","2.0.0","19107","null","<p>5 - 3 = 2</p><p>Wrong.</p>","null","","","","","","",""
"","","","","","html-keyboard-response","7","2.0.0","21110","null","Gavin","null","","","","Gavin","","",""
"","","","","","image-keyboard-response","8","2.0.0","24113","null","./images/AM-252.jpg","null","","","","","./images/AM-252.jpg","",""
"","","","","","html-keyboard-response","9","2.0.0","28117","null","Gavin prepares hearty dinners for family when someone feels under the weather.","null","","","","","","prepares hearty dinners for family when someone feels under the weather.",""
"","","","","","html-keyboard-response","10","2.0.0","29714","1596","<p>3 + 2  = ?</p>","5","3 + 2 ","5","true","","","",""
"","","","","","html-keyboard-response","11","2.0.0","33120","null","<p>3 + 2  = 5</p><p>Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","12","2.0.0","35121","null","Jack","null","","","","Jack","","",""
"","","","","","html-keyboard-response","13","2.0.0","39124","null","Jack cuts in line at crowded cafés, frustrating everyone waiting behind.","null","","","","","","cuts in line at crowded cafés, frustrating everyone waiting behind.",""
"","","","","","image-keyboard-response","14","2.0.0","42128","null","./images/LM-207.jpg","null","","","","","./images/LM-207.jpg","",""
"","","","","","html-keyboard-response","15","2.0.0","43616","1488","<p>2 + 3 = ?</p>","5","2 + 3","5","true","","","",""
"","","","","","html-keyboard-response","16","2.0.0","47131","null","<p>2 + 3 = 5</p><p>Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","17","2.0.0","49134","null","William","null","","","","William","","",""
"","","","","","image-keyboard-response","18","2.0.0","52136","null","./images/LM-231.jpg","null","","","","","./images/LM-231.jpg","",""
"","","","","","html-keyboard-response","19","2.0.0","56138","null","William spends weekends volunteering at the local animal shelter with enthusiasm.","null","","","","","","spends weekends volunteering at the local animal shelter with enthusiasm.",""
"","","","","","html-keyboard-response","20","2.0.0","57759","1620","<p>8 - 8 = ?</p>","0","8 - 8","0","true","","","",""
"","","","","","html-keyboard-response","21","2.0.0","61142","null","<p>8 - 8 = 0</p><p>Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","22","2.0.0","63145","null","Emily","null","","","","","","",""
"","","","","","image-keyboard-response","23","2.0.0","66148","null","./images/WF-007.jpg","null","","","","","","",""
"","","","","","html-keyboard-response","24","2.0.0","68151","null","Emily","null","","","","","","",""
"","","","","","html-keyboard-response","25","2.0.0","69785","1633","<p>5 - 5 = ?</p>","0","5 - 5","0","true","","","",""
"","","","","","html-keyboard-response","26","2.0.0","73153","null","<p>5 - 5 = 0</p><p>Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","27","2.0.0","75156","null","Destiny","null","","","","Destiny","","",""
"","","","","","html-keyboard-response","28","2.0.0","79159","null","Destiny leaves trash on tables after lunch, ignoring others' requests to clean.","null","","","","","","leaves trash on tables after lunch, ignoring others' requests to clean.",""
"","","","","","image-keyboard-response","29","2.0.0","82163","null","./images/AF-225.jpg","null","","","","","./images/AF-225.jpg","",""
"","","","","","html-keyboard-response","30","2.0.0","83870","1707","<p>7 - 4 = ?</p>","3","7 - 4","3","true","","","",""
"","","","","","html-keyboard-response","31","2.0.0","87166","null","<p>7 - 4 = 3</p><p>Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","32","2.0.0","89169","null","Jackson","null","","","","Jackson","","",""
"","","","","","html-keyboard-response","33","2.0.0","93171","null","Jackson takes calls loudly at dinner, distracting everyone eating nearby.","null","","","","","","takes calls loudly at dinner, distracting everyone eating nearby.",""
"","","","","","image-keyboard-response","34","2.0.0","96183","null","./images/WM-009.jpg","null","","","","","./images/WM-009.jpg","",""
"","","","","","html-keyboard-response","35","2.0.0","97948","1764","<p>1 - 0 = ?</p>","1","1 - 0","1","true","","","",""
"","","","","","html-keyboard-response","36","2.0.0","101187","null","<p>1 - 0 = 1</p><p>Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","37","2.0.0","103189","null","Megan","null","","","","Megan","","",""
"","","","","","image-keyboard-response","38","2.0.0","106192","null","./images/AF-226.jpg","null","","","","","./images/AF-226.jpg","",""
"","","","","","html-keyboard-response","39","2.0.0","110195","null","Megan happily volunteers to babysit for a friend who needs a night off.","null","","","","","","happily volunteers to babysit for a friend who needs a night off.",""
"","","","","","html-keyboard-response","40","2.0.0","111733","1537","<p>5 - 3 = ?</p>","2","5 - 3","2","true","","","",""
"","","","","","html-keyboard-response","41","2.0.0","115199","null","<p>5 - 3 = 2</p><p>Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","42","2.0.0","117202","null","Sarah","null","","","","","","",""
"","","","","","image-keyboard-response","43","2.0.0","120204","null","./images/LF-212.jpg","null","","","","","","",""
"","","","","","html-keyboard-response","44","2.0.0","122207","null","Sarah","null","","","","","","",""
"","","","","","html-keyboard-response","45","2.0.0","123927","1719","<p>6 - 1 = ?</p>","5","6 - 1","5","true","","","",""
"","","","","","html-keyboard-response","46","2.0.0","127210","null","<p>6 - 1 = 5</p><p>Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","47","2.0.0","129213","null","Austin","null","","","","Austin","","",""
"","","","","","html-keyboard-response","48","2.0.0","133216","null","Austin goes grocery shopping weekly to stock up on fresh ingredients.","null","","","","","","goes grocery shopping weekly to stock up on fresh ingredients.",""
"","","","","","image-keyboard-response","49","2.0.0","136220","null","./images/LM-223.jpg","null","","","","","./images/LM-223.jpg","",""
"","","","","","html-keyboard-response","50","2.0.0","137910","1681","<p>6 - 0 = ?</p>","6","6 - 0","6","true","","","",""
"","","","","","html-keyboard-response","51","2.0.0","141231","null","<p>6 - 0 = 6</p><p>Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","52","2.0.0","143235","null","Lily","null","","","","Lily","","",""
"","","","","","image-keyboard-response","53","2.0.0","146238","null","./images/LF-243.jpg","null","","","","","./images/LF-243.jpg","",""
"","","","","","html-keyboard-response","54","2.0.0","150242","null","Lily criticizes others' ideas without offering constructive feedback.","null","","","","","","criticizes others' ideas without offering constructive feedback.",""
"","","","","","html-keyboard-response","55","2.0.0","151710","1467","<p>6 - 1 = ?</p>","5","6 - 1","5","true","","","",""
"","","","","","html-keyboard-response","56","2.0.0","155245","null","<p>6 - 1 = 5</p><p>Correct!</p>","null","","","","","","",""
"","","","","","html-keyboard-response","57","2.0.0","157248","null","Mason","null","","","","","","",""
"","","","","","image-keyboard-response","58","2.0.0","160250","null","./images/AM-207.jpg","null","","","","","","",""
