"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","name","condition","race","gender","behaviorType","image","behavior","question","expression","answer","correct","question_type","correct_answers","participant_response","nameGuesses","nameAnswer","behaviorAnswer"
"true","false","[]","[]","[]","preload","0","2.0.0","4350","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","40180","35829","
      <div style=""font-size:22px;line-height: 1.5; max-width: 1300px; margin: 5%; text-align: center;"">
      <p>During this experiment, you will be shown photographs of different identities, and,
      for some, their associated identity information (e.g., description of their behavior).</p>
      <p>Please try to remember all faces and identity information that has been presented.</p>
      <p>Each identity is equally important to remember, and
      you will be tested on your memory at the end of the experiment.</p>
      <p><b>When you are ready, press any key to begin.</b></p>
    </div>
  "," ","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","42183","null","<p style=""font-size:100px"">Jose</p>","null","Jose","Face-first","latino","Male","negative","","","","","","","","","","","",""
"","","","","","image-keyboard-response","3","2.0.0","45187","null","./images/LM-231.jpg","null","Jose","Face-first","","","negative","./images/LM-231.jpg","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","50190","null","<p style=""font-size:40px; line-height:1.5; margin: 0 50px 0 50px"">Jose criticizes others' ideas without offering constructive feedback. </p>","null","Jose","Face-first","","","negative","","criticizes others' ideas without offering constructive feedback.","","","","","","","","","",""
"","","","","","html-keyboard-response","5","2.0.0","58323","8132","<p >how would you rate their behavior? (Rate between 1-7)<p/>
            <p>1-very untrustworthy, 7-very trustworthy<p/>","3","","","","","","","","trustworthy_rating","","","","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","60032","1708","<p style=""font-size:100px"">6 - 2 = ?</p>","4","","","","","","","","","6 - 2","4","true","","","","","",""
"","","","","","html-keyboard-response","7","2.0.0","61826","null","<p style=""font-size:100px"">6 - 2 = 4</p><p style=""font-size:100px"">Correct!</p>","null","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","2.0.0","63828","null","<p style=""font-size:100px"">Jessica</p>","null","Jessica","Bio-first","","","neutral","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","2.0.0","68832","null","<p style=""font-size:40px;line-height:1.5; margin: 0 50px 0 50px"">Jessica takes the car to the wash every weekend to keep it spotless. </p>","null","Jessica","Bio-first","","","neutral","","takes the car to the wash every weekend to keep it spotless.","","","","","","","","","",""
"","","","","","image-keyboard-response","10","2.0.0","71836","null","./images/WF-214.jpg","null","Jessica","Bio-first","","","neutral","./images/WF-214.jpg","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","2.0.0","78682","6846","<p>how would you rate their behavior? (Rate between 1-7)<p/>
            <p>1-very trustworthy, 7-very untrustworthy<p/>","2","","","","","","","","trustworthy_rating","","","","","","","","",""
"","","","","","html-keyboard-response","12","2.0.0","80349","1666","<p style=""font-size:100px"">2 + 3 = ?</p>","5","","","","","","","","","2 + 3","5","true","","","","","",""
"","","","","","html-keyboard-response","13","2.0.0","82185","null","<p style=""font-size:100px"">2 + 3 = 5</p><p style=""font-size:100px"">Correct!</p>","null","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","2.0.0","84189","null","<p style=""font-size:100px"">Sydney</p>","null","Sydney","control","asian","Female","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","15","2.0.0","87193","null","./images/AF-226.jpg","null","Sydney","","","","","./images/AF-226.jpg","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","2.0.0","92195","null","<p style=""font-size:100px"">Sydney</p>","null","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","2.0.0","102049","9853","<p>how would you rate their attractiveness? (Rate between 1-7)<p/>
            <p>1-very unattractive; 7-very attractive<p/>","4","","","","","","","","attractive_rating","","","","","","","","",""
"","","","","","html-keyboard-response","18","2.0.0","103740","1690","<p style=""font-size:100px"">7 - 4 = ?</p>","3","","","","","","","","","7 - 4","3","true","","","","","",""
"","","","","","html-keyboard-response","19","2.0.0","105553","null","<p style=""font-size:100px"">7 - 4 = 3</p><p style=""font-size:100px"">Correct!</p>","null","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","2.0.0","107556","null","<p style=""font-size:100px"">Luke</p>","null","Luke","Bio-first","","","negative","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","2.0.0","112558","null","<p style=""font-size:40px;line-height:1.5; margin: 0 50px 0 50px"">Luke leaves dirty dishes in the office sink for others to clean. </p>","null","Luke","Bio-first","","","negative","","leaves dirty dishes in the office sink for others to clean.","","","","","","","","","",""
"","","","","","image-keyboard-response","22","2.0.0","115562","null","./images/LM-207.jpg","null","Luke","Bio-first","","","negative","./images/LM-207.jpg","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","2.0.0","118538","2975","<p>how would you rate their behavior? (Rate between 1-7)<p/>
            <p>1-very trustworthy, 7-very untrustworthy<p/>","6","","","","","","","","trustworthy_rating","","","","","","","","",""
"","","","","","html-keyboard-response","24","2.0.0","120709","2170","<p style=""font-size:100px"">4 - 2 = ?</p>","2","","","","","","","","","4 - 2","2","true","","","","","",""
"","","","","","html-keyboard-response","25","2.0.0","122041","null","<p style=""font-size:100px"">4 - 2 = 2</p><p style=""font-size:100px"">Correct!</p>","null","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","2.0.0","124044","null","<p style=""font-size:100px"">Elizabeth</p>","null","Elizabeth","control","asian","Female","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","27","2.0.0","127047","null","./images/AF-252.jpg","null","Elizabeth","","","","","./images/AF-252.jpg","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","2.0.0","132050","null","<p style=""font-size:100px"">Elizabeth</p>","null","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","29","2.0.0","136869","4818","<p>how would you rate their attractiveness? (Rate between 1-7)<p/>
            <p>1-very unattractive; 7-very attractive<p/>","4","","","","","","","","attractive_rating","","","","","","","","",""
"","","","","","html-keyboard-response","30","2.0.0","139477","2608","<p style=""font-size:100px"">6 + 2  = ?</p>","8","","","","","","","","","6 + 2 ","8","true","","","","","",""
"","","","","","html-keyboard-response","31","2.0.0","140372","null","<p style=""font-size:100px"">6 + 2  = 8</p><p style=""font-size:100px"">Correct!</p>","null","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","2.0.0","142375","null","<p style=""font-size:100px"">Andrea</p>","null","Andrea","Face-first","white","Female","positive","","","","","","","","","","","",""
"","","","","","image-keyboard-response","33","2.0.0","145377","null","./images/WF-233.jpg","null","Andrea","Face-first","","","positive","./images/WF-233.jpg","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","2.0.0","150381","null","<p style=""font-size:40px; line-height:1.5; margin: 0 50px 0 50px"">Andrea surprises coworkers with coffee on busy mornings to boost morale.  </p>","null","Andrea","Face-first","","","positive","","surprises coworkers with coffee on busy mornings to boost morale. ","","","","","","","","","",""
"","","","","","html-keyboard-response","35","2.0.0","154253","3872","<p >how would you rate their behavior? (Rate between 1-7)<p/>
            <p>1-very untrustworthy, 7-very trustworthy<p/>","6","","","","","","","","trustworthy_rating","","","","","","","","",""
"","","","","","html-keyboard-response","36","2.0.0","155681","1427","<p style=""font-size:100px"">6 + 2  = ?</p>","8","","","","","","","","","6 + 2 ","8","true","","","","","",""
"","","","","","html-keyboard-response","37","2.0.0","157756","null","<p style=""font-size:100px"">6 + 2  = 8</p><p style=""font-size:100px"">Correct!</p>","null","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","2.0.0","159759","null","<p style=""font-size:100px"">Andrew</p>","null","Andrew","Bio-first","","","positive","","","","","","","","","","","",""
"","","","","","html-keyboard-response","39","2.0.0","164762","null","<p style=""font-size:40px;line-height:1.5; margin: 0 50px 0 50px"">Andrew prepares hearty dinners for friends when they feel under the weather. </p>","null","Andrew","Bio-first","","","positive","","prepares hearty dinners for friends when they feel under the weather.","","","","","","","","","",""
"","","","","","image-keyboard-response","40","2.0.0","167765","null","./images/WM-040.jpg","null","Andrew","Bio-first","","","positive","./images/WM-040.jpg","","","","","","","","","","",""
"","","","","","html-keyboard-response","41","2.0.0","170187","2421","<p>how would you rate their behavior? (Rate between 1-7)<p/>
            <p>1-very trustworthy, 7-very untrustworthy<p/>","6","","","","","","","","trustworthy_rating","","","","","","","","",""
"","","","","","html-keyboard-response","42","2.0.0","171576","1388","<p style=""font-size:100px"">2 + 3 = ?</p>","5","","","","","","","","","2 + 3","5","true","","","","","",""
"","","","","","html-keyboard-response","43","2.0.0","173690","null","<p style=""font-size:100px"">2 + 3 = 5</p><p style=""font-size:100px"">Correct!</p>","null","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","44","2.0.0","175692","null","<p style=""font-size:100px"">John</p>","null","John","control","asian","Male","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","45","2.0.0","178695","null","./images/AM-207.jpg","null","John","","","","","./images/AM-207.jpg","","","","","","","","","","",""
"","","","","","html-keyboard-response","46","2.0.0","183698","null","<p style=""font-size:100px"">John</p>","null","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","47","2.0.0","187546","3848","<p>how would you rate their attractiveness? (Rate between 1-7)<p/>
            <p>1-very unattractive; 7-very attractive<p/>","3","","","","","","","","attractive_rating","","","","","","","","",""
"","","","","","html-keyboard-response","48","2.0.0","189186","1640","<p style=""font-size:100px"">1 + 3  = ?</p>","4","","","","","","","","","1 + 3 ","4","true","","","","","",""
"","","","","","html-keyboard-response","49","2.0.0","191048","null","<p style=""font-size:100px"">1 + 3  = 4</p><p style=""font-size:100px"">Correct!</p>","null","","","","","","","","","","","","","","","","",""
