"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","name","condition","race","gender","image","question","expression","answer","correct","behaviorType","behavior","question_type","correct_answers","participant_response","nameGuesses","nameAnswer","behaviorAnswer"
"true","false","[]","[]","[]","preload","0","2.0.0","9415","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","1","2.0.0","17427","8010","
      <div style=""font-size:22px;line-height: 1.5; max-width: 1300px; margin: 5%; text-align: center;"">
      <p>During this experiment, you will be shown photographs of different identities, and,
      for some, their associated identity information (e.g., description of their behavior).</p>
      <p>Please try to remember all faces and identity information that has been presented.</p>
      <p>Each identity is equally important to remember, and
      you will be tested on your memory at the end of the experiment.</p>
      <p><b>When you are ready, press any key to begin.</b></p>
    </div>
  "," ","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","19433","null","<p style=""font-size:100px"">Emma</p>","null","Emma","control","asian","Female","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","3","2.0.0","22438","null","./images/AF-205.jpg","null","Emma","","","","./images/AF-205.jpg","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","2.0.0","27444","null","<p style=""font-size:100px"">Emma</p>","null","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","2.0.0","33026","5580","<p>how would you rate their attractiveness? (Rate between 1-7)<p/>
            <p>1-very unattractive; 7-very attractive<p/>","4","","","","","","attractive_rating","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","2.0.0","36031","null","<p style=""font-size:100px"">9 - 0 = ?</p>","null","","","","","","","9 - 0","9","false","","","","","","","",""
"","","","","","html-keyboard-response","7","2.0.0","36537","null","<p style=""font-size:100px"">9 - 0 = 9</p><p style=""font-size:100px"">Wrong.</p>","null","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","2.0.0","38544","null","<p style=""font-size:100px"">William</p>","null","William","Face-first","asian","Male","","","","","","neutral","","","","","","",""
"","","","","","image-keyboard-response","9","2.0.0","41548","null","./images/AM-202.jpg","null","William","Face-first","","","./images/AM-202.jpg","","","","","neutral","","","","","","",""
"","","","","","html-keyboard-response","10","2.0.0","46550","null","<p style=""font-size:40px; line-height:1.5; margin: 0 50px 0 50px"">William schedules a monthly check-up with the dentist to miantian oral health. </p>","null","William","Face-first","","","","","","","","neutral","schedules a monthly check-up with the dentist to miantian oral health.","","","","","",""
"","","","","","html-keyboard-response","11","2.0.0","54055","7503","<p >how would you rate their behavior? (Rate between 1-7)<p/>
            <p>w1-very untrustworthy, 7-very trustworthy<p/>","6","","","","","","trustworthy_rating","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","2.0.0","55896","1841","<p style=""font-size:100px"">5 - 5 = ?</p>","0","","","","","","","5 - 5","0","true","","","","","","","",""
"","","","","","html-keyboard-response","13","2.0.0","57558","null","<p style=""font-size:100px"">5 - 5 = 0</p><p style=""font-size:100px"">Correct!</p>","null","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","2.0.0","59565","null","<p style=""font-size:100px"">Katherine</p>","null","Katherine","Bio-first","","","","","","","","positive","","","","","","",""
"","","","","","html-keyboard-response","15","2.0.0","64572","null","<p style=""font-size:40px;line-height:1.5; margin: 0 50px 0 50px"">Katherine sends thoughtful thank-you notes to coworkers for their support on projects. </p>","null","Katherine","Bio-first","","","","","","","","positive","sends thoughtful thank-you notes to coworkers for their support on projects.","","","","","",""
"","","","","","image-keyboard-response","16","2.0.0","67579","null","./images/AF-255.jpg","null","Katherine","Bio-first","","","./images/AF-255.jpg","","","","","positive","","","","","","",""
"","","","","","html-keyboard-response","17","2.0.0","70898","3318","<p>how would you rate their behavior? (Rate between 1-7)<p/>
            <p>1-very trustworthy, 7-very untrustworthy<p/>","7","","","","","","trustworthy_rating","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","2.0.0","72651","1752","<p style=""font-size:100px"">5 + 2  = ?</p>","7","","","","","","","5 + 2 ","7","true","","","","","","","",""
"","","","","","html-keyboard-response","19","2.0.0","74406","null","<p style=""font-size:100px"">5 + 2  = 7</p><p style=""font-size:100px"">Correct!</p>","null","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","2.0.0","76411","null","<p style=""font-size:100px"">David</p>","null","David","Face-first","white","Male","","","","","","positive","","","","","","",""
"","","","","","image-keyboard-response","21","2.0.0","79418","null","./images/WM-031.jpg","null","David","Face-first","","","./images/WM-031.jpg","","","","","positive","","","","","","",""
"","","","","","html-keyboard-response","22","2.0.0","84421","null","<p style=""font-size:40px; line-height:1.5; margin: 0 50px 0 50px"">David prepares hearty dinners for family when someone feels under the weather. </p>","null","David","Face-first","","","","","","","","positive","prepares hearty dinners for family when someone feels under the weather.","","","","","",""
"","","","","","html-keyboard-response","23","2.0.0","86643","2221","<p >how would you rate their behavior? (Rate between 1-7)<p/>
            <p>w1-very untrustworthy, 7-very trustworthy<p/>","7","","","","","","trustworthy_rating","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","2.0.0","88249","1605","<p style=""font-size:100px"">7 - 4 = ?</p>","3","","","","","","","7 - 4","3","true","","","","","","","",""
"","","","","","html-keyboard-response","25","2.0.0","90150","null","<p style=""font-size:100px"">7 - 4 = 3</p><p style=""font-size:100px"">Correct!</p>","null","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","2.0.0","92157","null","<p style=""font-size:100px"">Noah</p>","null","Noah","Bio-first","","","","","","","","negative","","","","","","",""
"","","","","","html-keyboard-response","27","2.0.0","97163","null","<p style=""font-size:40px;line-height:1.5; margin: 0 50px 0 50px"">Noah consistently shows up late to group meetings, making others wiat. </p>","null","Noah","Bio-first","","","","","","","","negative","consistently shows up late to group meetings, making others wiat.","","","","","",""
"","","","","","image-keyboard-response","28","2.0.0","100170","null","./images/AM-252.jpg","null","Noah","Bio-first","","","./images/AM-252.jpg","","","","","negative","","","","","","",""
"","","","","","html-keyboard-response","29","2.0.0","102900","2728","<p>how would you rate their behavior? (Rate between 1-7)<p/>
            <p>1-very trustworthy, 7-very untrustworthy<p/>","7","","","","","","trustworthy_rating","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","2.0.0","104620","1720","<p style=""font-size:100px"">5 + 1  = ?</p>","6","","","","","","","5 + 1 ","6","true","","","","","","","",""
"","","","","","html-keyboard-response","31","2.0.0","106403","null","<p style=""font-size:100px"">5 + 1  = 6</p><p style=""font-size:100px"">Correct!</p>","null","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","2.0.0","108409","null","<p style=""font-size:100px"">Daniel</p>","null","Daniel","control","asian","Male","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","33","2.0.0","111417","null","./images/AM-211.jpg","null","Daniel","","","","./images/AM-211.jpg","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","2.0.0","116422","null","<p style=""font-size:100px"">Daniel</p>","null","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","35","2.0.0","119806","3383","<p>how would you rate their attractiveness? (Rate between 1-7)<p/>
            <p>1-very unattractive; 7-very attractive<p/>","2","","","","","","attractive_rating","","","","","","","","","","",""
"","","","","","html-keyboard-response","36","2.0.0","121629","1822","<p style=""font-size:100px"">6 - 0 = ?</p>","6","","","","","","","6 - 0","6","true","","","","","","","",""
"","","","","","html-keyboard-response","37","2.0.0","123314","null","<p style=""font-size:100px"">6 - 0 = 6</p><p style=""font-size:100px"">Correct!</p>","null","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","2.0.0","125320","null","<p style=""font-size:100px"">Maria</p>","null","Maria","Bio-first","","","","","","","","positive","","","","","","",""
"","","","","","html-keyboard-response","39","2.0.0","130327","null","<p style=""font-size:40px;line-height:1.5; margin: 0 50px 0 50px"">Maria offers up a bus seat to someone standing, without being asked. </p>","null","Maria","Bio-first","","","","","","","","positive","offers up a bus seat to someone standing, without being asked.","","","","","",""
"","","","","","image-keyboard-response","40","2.0.0","133330","null","./images/LF-251.jpg","null","Maria","Bio-first","","","./images/LF-251.jpg","","","","","positive","","","","","","",""
"","","","","","html-keyboard-response","41","2.0.0","135284","1953","<p>how would you rate their behavior? (Rate between 1-7)<p/>
            <p>1-very trustworthy, 7-very untrustworthy<p/>","1","","","","","","trustworthy_rating","","","","","","","","","","",""
"","","","","","html-keyboard-response","42","2.0.0","137071","1786","<p style=""font-size:100px"">7 + 2  = ?</p>","9","","","","","","","7 + 2 ","9","true","","","","","","","",""
"","","","","","html-keyboard-response","43","2.0.0","138791","null","<p style=""font-size:100px"">7 + 2  = 9</p><p style=""font-size:100px"">Correct!</p>","null","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","44","2.0.0","140798","null","<p style=""font-size:100px"">Alexander</p>","null","Alexander","Face-first","white","Male","","","","","","neutral","","","","","","",""
"","","","","","image-keyboard-response","45","2.0.0","143806","null","./images/WM-004.jpg","null","Alexander","Face-first","","","./images/WM-004.jpg","","","","","neutral","","","","","","",""
"","","","","","html-keyboard-response","46","2.0.0","148811","null","<p style=""font-size:40px; line-height:1.5; margin: 0 50px 0 50px"">Alexander goes grocery shopping weekly to stock up on fresh ingredients. </p>","null","Alexander","Face-first","","","","","","","","neutral","goes grocery shopping weekly to stock up on fresh ingredients.","","","","","",""
"","","","","","html-keyboard-response","47","2.0.0","151492","2680","<p >how would you rate their behavior? (Rate between 1-7)<p/>
            <p>w1-very untrustworthy, 7-very trustworthy<p/>","7","","","","","","trustworthy_rating","","","","","","","","","","",""
"","","","","","html-keyboard-response","48","2.0.0","153483","1990","<p style=""font-size:100px"">6 + 2  = ?</p>","8","","","","","","","6 + 2 ","8","true","","","","","","","",""
"","","","","","html-keyboard-response","49","2.0.0","154998","null","<p style=""font-size:100px"">6 + 2  = 8</p><p style=""font-size:100px"">Correct!</p>","null","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","50","2.0.0","157004","null","<p style=""font-size:100px"">Addison</p>","null","Addison","control","latino","Female","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","51","2.0.0","160009","null","./images/LF-243.jpg","null","Addison","","","","./images/LF-243.jpg","","","","","","","","","","","",""
"","","","","","html-keyboard-response","52","2.0.0","165015","null","<p style=""font-size:100px"">Addison</p>","null","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","53","2.0.0","167503","2479","<p>how would you rate their attractiveness? (Rate between 1-7)<p/>
            <p>1-very unattractive; 7-very attractive<p/>","3","","","","","","attractive_rating","","","","","","","","","","",""
"","","","","","html-keyboard-response","54","2.0.0","168995","1492","<p style=""font-size:100px"">5 - 5 = ?</p>","0","","","","","","","5 - 5","0","true","","","","","","","",""
"","","","","","html-keyboard-response","55","2.0.0","171005","null","<p style=""font-size:100px"">5 - 5 = 0</p><p style=""font-size:100px"">Correct!</p>","null","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","56","2.0.0","173011","null","<p style=""font-size:100px"">Joseph</p>","null","Joseph","Bio-first","","","","","","","","neutral","","","","","","",""
"","","","","","html-keyboard-response","57","2.0.0","178018","null","<p style=""font-size:40px;line-height:1.5; margin: 0 50px 0 50px"">Joseph spends an hour rearranging living room furniture to refresh the space. </p>","null","Joseph","Bio-first","","","","","","","","neutral","spends an hour rearranging living room furniture to refresh the space.","","","","","",""
"","","","","","image-keyboard-response","58","2.0.0","181026","null","./images/AM-201.jpg","null","Joseph","Bio-first","","","./images/AM-201.jpg","","","","","neutral","","","","","","",""
"","","","","","html-keyboard-response","59","2.0.0","183614","2587","<p>how would you rate their behavior? (Rate between 1-7)<p/>
            <p>1-very trustworthy, 7-very untrustworthy<p/>","2","","","","","","trustworthy_rating","","","","","","","","","","",""
"","","","","","html-keyboard-response","60","2.0.0","185254","1639","<p style=""font-size:100px"">8 - 0 = ?</p>","8","","","","","","","8 - 0","8","true","","","","","","","",""
"","","","","","html-keyboard-response","61","2.0.0","187121","null","<p style=""font-size:100px"">8 - 0 = 8</p><p style=""font-size:100px"">Correct!</p>","null","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","62","2.0.0","189129","null","<p style=""font-size:100px"">Hannah</p>","null","Hannah","control","latino","Female","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","63","2.0.0","192135","null","./images/LF-241.jpg","null","Hannah","","","","./images/LF-241.jpg","","","","","","","","","","","",""
"","","","","","html-keyboard-response","64","2.0.0","197137","null","<p style=""font-size:100px"">Hannah</p>","null","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","65","2.0.0","199975","2836","<p>how would you rate their attractiveness? (Rate between 1-7)<p/>
            <p>1-very unattractive; 7-very attractive<p/>","3","","","","","","attractive_rating","","","","","","","","","","",""
"","","","","","html-keyboard-response","66","2.0.0","201410","1434","<p style=""font-size:100px"">8 - 8 = ?</p>","0","","","","","","","8 - 8","0","true","","","","","","","",""
"","","","","","html-keyboard-response","67","2.0.0","203482","null","<p style=""font-size:100px"">8 - 8 = 0</p><p style=""font-size:100px"">Correct!</p>","null","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","68","2.0.0","205488","null","<p style=""font-size:100px"">Hunter</p>","null","Hunter","Face-first","latino","Male","","","","","","negative","","","","","","",""
"","","","","","image-keyboard-response","69","2.0.0","208496","null","./images/LM-239.jpg","null","Hunter","Face-first","","","./images/LM-239.jpg","","","","","negative","","","","","","",""
"","","","","","html-keyboard-response","70","2.0.0","213503","null","<p style=""font-size:40px; line-height:1.5; margin: 0 50px 0 50px"">Hunter ignores group messages that ask for help organizing events. </p>","null","Hunter","Face-first","","","","","","","","negative","ignores group messages that ask for help organizing events.","","","","","",""
"","","","","","html-keyboard-response","71","2.0.0","215659","2155","<p >how would you rate their behavior? (Rate between 1-7)<p/>
            <p>w1-very untrustworthy, 7-very trustworthy<p/>","1","","","","","","trustworthy_rating","","","","","","","","","","",""
"","","","","","html-keyboard-response","72","2.0.0","217330","1670","<p style=""font-size:100px"">7 + 2  = ?</p>","9","","","","","","","7 + 2 ","9","true","","","","","","","",""
"","","","","","html-keyboard-response","73","2.0.0","219163","null","<p style=""font-size:100px"">7 + 2  = 9</p><p style=""font-size:100px"">Correct!</p>","null","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","74","2.0.0","221168","null","<p style=""font-size:100px"">Nathan</p>","null","Nathan","Face-first","latino","Male","","","","","","neutral","","","","","","",""
"","","","","","image-keyboard-response","75","2.0.0","224175","null","./images/LM-231.jpg","null","Nathan","Face-first","","","./images/LM-231.jpg","","","","","neutral","","","","","","",""
"","","","","","html-keyboard-response","76","2.0.0","229179","null","<p style=""font-size:40px; line-height:1.5; margin: 0 50px 0 50px"">Nathan takes the car to the wash every weekend to keep it spotless. </p>","null","Nathan","Face-first","","","","","","","","neutral","takes the car to the wash every weekend to keep it spotless.","","","","","",""
